location,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Wind Gust,Cloud Cover Total,Mean Sea Level Pressure
unit,°C,mm,%,km/h,%,hPa
level,2 m elevation corrected,sfc,2 m,sfc,sfc,MSL
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Gust,Basel Cloud Cover Total,Basel Mean Sea Level Pressure [MSL]
20240111T1700,-4.309755,0.0,87.91999,20.880001,5.0,1030.1
20240111T1800,-4.1297545,0.0,89.16565,20.880001,7.0,1030.2
20240111T1900,-5.0697546,0.0,90.93498,17.64,5.0,1030.5
20240111T2000,-4.8597546,0.0,91.02635,16.199999,2.0,1031.1
20240111T2100,-4.459755,0.0,90.09265,15.4800005,0.0,1030.9
20240111T2200,-4.559755,0.0,89.25407,14.759999,2.0,1032.0
20240111T2300,-4.829755,0.0,89.36116,14.759999,1.0,1032.0
20240112T0000,-5.1897545,0.0,88.97525,14.4,0.0,1031.6
20240112T0100,-5.309755,0.0,88.41118,14.759999,0.0,1031.9
20240112T0200,-5.4897547,0.0,88.80216,14.759999,0.0,1031.8
20240112T0300,-5.559755,0.0,89.90368,14.4,0.0,1031.8
20240112T0400,-5.639755,0.0,89.5465,14.04,3.0,1031.7
20240112T0500,-6.1097546,0.0,90.263626,14.04,2.0,1031.5
20240112T0600,-6.4697547,0.0,90.436066,14.04,6.0,1031.7
20240112T0700,-6.389755,0.0,90.79842,15.119999,4.0,1031.9
20240112T0800,-5.209755,0.0,90.43026,14.04,3.0,1032.0
20240112T0900,-3.5397549,0.0,85.68674,14.04,1.0,1031.9
20240112T1000,-2.9297547,0.0,80.800255,12.959999,16.0,1033.9
20240112T1100,-3.6797547,0.0,86.459854,14.759999,19.0,1033.6
20240112T1200,-2.6397548,0.0,83.67865,16.199999,14.0,1032.5
20240112T1300,-2.0997548,0.0,82.87261,16.56,13.0,1032.1
20240112T1400,-2.2197547,0.0,83.23325,16.199999,8.0,1031.3
20240112T1500,-2.8197546,0.0,84.22872,15.4800005,5.0,1031.3
20240112T1600,-3.8997545,0.0,88.03751,15.119999,5.0,1031.4
20240112T1700,-4.289755,0.0,91.01352,15.4800005,3.0,1031.2
20240112T1800,-3.769755,0.0,90.92613,14.4,1.0,1031.3
20240112T1900,-4.3997545,0.0,92.54983,13.679999,2.0,1031.6
20240112T2000,-4.6097546,0.0,92.176994,12.959999,3.0,1031.7
20240112T2100,-4.3397546,0.0,91.70865,12.24,5.0,1031.5
20240112T2200,-5.1997547,0.0,92.193695,12.599999,52.0,1032.3
20240112T2300,-5.5697546,0.0,93.09043,12.599999,36.0,1031.9
20240113T0000,-5.289755,0.0,92.54173,12.24,26.0,1031.4
20240113T0100,-4.6597548,0.0,91.186516,11.879999,33.0,1031.1
20240113T0200,-4.7597547,0.0,90.33835,11.159999,73.0,1030.2
20240113T0300,-4.849755,0.0,89.35889,10.440001,71.0,1029.8
20240113T0400,-5.1697545,0.0,89.3917,9.36,69.0,1029.4
20240113T0500,-5.7197547,0.0,91.93139,10.440001,69.0,1029.4
20240113T0600,-6.119755,0.0,93.47709,10.440001,69.0,1029.3
20240113T0700,-6.039755,0.0,93.628914,13.32,71.0,1029.3
20240113T0800,-7.249755,0.0,94.632065,11.5199995,68.0,1029.3
20240113T0900,-7.269755,0.0,93.67189,13.679999,27.0,1028.8
20240113T1000,-5.0697546,0.0,90.93498,14.04,34.0,1030.1
20240113T1100,-3.9197545,0.0,86.49453,14.04,21.0,1029.2
20240113T1200,-2.9497547,0.0,83.31285,12.599999,22.0,1027.8
20240113T1300,-2.4497547,0.0,83.071556,10.799999,15.0,1026.7
20240113T1400,-2.0897546,0.0,80.387764,10.799999,6.0,1025.7
20240113T1500,-1.8897547,0.0,79.38657,9.72,7.0,1025.1
20240113T1600,-1.9797546,0.0,81.57829,10.440001,4.0,1024.8
20240113T1700,-3.769755,0.0,87.9858,11.5199995,4.0,1024.3
20240113T1800,-4.709755,0.0,91.603096,12.599999,3.0,1024.1
20240113T1900,-4.709755,0.0,91.603096,16.199999,2.0,1023.8
20240113T2000,-4.749755,0.0,91.037415,13.679999,0.6,1023.3
20240113T2100,-4.869755,0.0,90.18758,13.32,1.0,1022.6
20240113T2200,-4.8997545,0.0,88.66583,12.959999,3.0,1023.3
20240113T2300,-5.1497545,0.0,88.77352,12.599999,2.0,1022.9
20240114T0000,-5.269755,0.0,88.621864,12.599999,6.0,1022.0
20240114T0100,-5.619755,0.0,89.34037,12.599999,11.0,1021.0
20240114T0200,-6.099755,0.0,89.77367,12.599999,20.0,1020.3
20240114T0300,-6.349755,0.0,88.83815,12.959999,13.0,1019.9
20240114T0400,-6.499755,0.0,89.308235,12.959999,18.0,1019.1
20240114T0500,-6.459755,0.0,87.925064,13.32,15.0,1018.6
20240114T0600,-6.6597548,0.0,87.41776,13.32,8.0,1018.4
20240114T0700,-6.6297545,0.0,86.73746,16.919998,11.0,1018.1
20240114T0800,-6.079755,0.0,83.408844,14.759999,7.0,1017.6
20240114T0900,-4.829755,0.0,82.37732,16.199999,10.0,1016.9
20240114T1000,-5.209755,0.0,86.85971,16.199999,6.0,1018.0
20240114T1100,-2.8397546,0.0,77.707695,15.119999,10.0,1016.9
20240114T1200,-1.1997546,0.0,70.04216,14.04,8.0,1015.1
20240114T1300,-0.8097546,0.0,70.88783,14.759999,1.0,1013.7
